problem,instance,algorithm,config_label,evaluations,mean_cost,std_cost
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",25422,7738.933333333333,150.59679795917162
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",25542,7738.933333333333,150.59679795917162
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",25663,7738.933333333333,150.59679795917162
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",25783,7738.933333333333,150.59679795917162
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",25904,7738.933333333333,150.59679795917162
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",26024,7738.933333333333,150.59679795917162
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",26145,7738.933333333333,150.59679795917162
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",26265,7738.933333333333,150.59679795917162
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",26386,7738.933333333333,150.59679795917162
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",26506,7738.933333333333,150.59679795917162
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",26627,7738.933333333333,150.59679795917162
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",26747,7738.933333333333,150.59679795917162
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",26867,7738.933333333333,150.59679795917162
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",26988,7726.133333333333,158.42805587675716
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",27108,7726.133333333333,158.42805587675716
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",27229,7726.133333333333,158.42805587675716
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",27349,7726.133333333333,158.42805587675716
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",27470,7726.133333333333,158.42805587675716
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",27590,7726.133333333333,158.42805587675716
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",27711,7726.133333333333,158.42805587675716
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",27831,7726.133333333333,158.42805587675716
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",27952,7726.133333333333,158.42805587675716
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",28072,7726.133333333333,158.42805587675716
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",28193,7726.133333333333,158.42805587675716
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",28313,7726.133333333333,158.42805587675716
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",28434,7726.133333333333,158.42805587675716
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",28554,7726.133333333333,158.42805587675716
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",28675,7726.133333333333,158.42805587675716
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",28795,7726.133333333333,158.42805587675716
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",28916,7726.133333333333,158.42805587675716
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",29036,7726.133333333333,158.42805587675716
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",29157,7726.133333333333,158.42805587675716
