problem,problem_type,n,instance,algorithm,config_label,seed,rho,archive_size,num_ants,q0,alpha,beta,max_iterations,fitness_evaluations,iterations,final_fitness,reached_optimum,best_cost,gap_percent,elapsed_seconds
tsp,tsp,52,berlin52,P-ACO,"K=5, ants=30, q0=0.7, beta=3",4,,5,30,0.7,1.0,3.0,3000,90030,3000,,,7715,2.2938212675682843,20.951061964035034
tsp,tsp,52,berlin52,P-ACO,"K=5, ants=30, q0=0.7, beta=3",5,,5,30,0.7,1.0,3.0,3000,90030,3000,,,7715,2.2938212675682843,123.03694105148315
tsp,tsp,52,berlin52,P-ACO,"K=5, ants=30, q0=0.7, beta=3",6,,5,30,0.7,1.0,3.0,3000,90030,3000,,,7715,2.2938212675682843,20.80457592010498
tsp,tsp,52,berlin52,P-ACO,"K=5, ants=30, q0=0.7, beta=3",7,,5,30,0.7,1.0,3.0,3000,90030,3000,,,7944,5.330151153540175,20.473483085632324
tsp,tsp,52,berlin52,P-ACO,"K=5, ants=30, q0=0.7, beta=3",8,,5,30,0.7,1.0,3.0,3000,90030,3000,,,7775,3.0893662158578623,20.34696912765503
tsp,tsp,52,berlin52,P-ACO,"K=5, ants=30, q0=0.7, beta=3",9,,5,30,0.7,1.0,3.0,3000,90030,3000,,,7848,4.05727923627685,20.3629367351532
tsp,tsp,52,berlin52,P-ACO,"K=5, ants=30, q0=0.7, beta=3",10,,5,30,0.7,1.0,3.0,3000,90030,3000,,,7715,2.2938212675682843,20.490339279174805
tsp,tsp,52,berlin52,P-ACO,"K=5, ants=30, q0=0.7, beta=3",11,,5,30,0.7,1.0,3.0,3000,90030,3000,,,7542,0.0,20.398489952087402
tsp,tsp,52,berlin52,P-ACO,"K=5, ants=30, q0=0.7, beta=3",12,,5,30,0.7,1.0,3.0,3000,90030,3000,,,7715,2.2938212675682843,20.475245237350464
tsp,tsp,52,berlin52,P-ACO,"K=5, ants=30, q0=0.7, beta=3",13,,5,30,0.7,1.0,3.0,3000,90030,3000,,,7542,0.0,20.449156999588013
tsp,tsp,52,berlin52,P-ACO,"K=5, ants=30, q0=0.7, beta=3",14,,5,30,0.7,1.0,3.0,3000,90030,3000,,,7848,4.05727923627685,20.419373989105225
tsp,tsp,52,berlin52,P-ACO,"K=5, ants=30, q0=0.9, beta=2",0,,5,30,0.9,1.0,2.0,3000,90030,3000,,,7542,0.0,18.920614004135132
tsp,tsp,52,berlin52,P-ACO,"K=5, ants=30, q0=0.9, beta=2",1,,5,30,0.9,1.0,2.0,3000,90030,3000,,,7542,0.0,18.979575872421265
tsp,tsp,52,berlin52,P-ACO,"K=5, ants=30, q0=0.9, beta=2",2,,5,30,0.9,1.0,2.0,3000,90030,3000,,,7542,0.0,18.983059406280518
tsp,tsp,52,berlin52,P-ACO,"K=5, ants=30, q0=0.9, beta=2",3,,5,30,0.9,1.0,2.0,3000,90030,3000,,,7542,0.0,18.927403926849365
tsp,tsp,52,berlin52,P-ACO,"K=5, ants=30, q0=0.9, beta=2",4,,5,30,0.9,1.0,2.0,3000,90030,3000,,,7715,2.2938212675682843,19.04578995704651
tsp,tsp,52,berlin52,P-ACO,"K=5, ants=30, q0=0.9, beta=2",5,,5,30,0.9,1.0,2.0,3000,90030,3000,,,7974,5.727923627684964,18.983468770980835
tsp,tsp,52,berlin52,P-ACO,"K=5, ants=30, q0=0.9, beta=2",6,,5,30,0.9,1.0,2.0,3000,90030,3000,,,7542,0.0,18.939876079559326
tsp,tsp,52,berlin52,P-ACO,"K=5, ants=30, q0=0.9, beta=2",7,,5,30,0.9,1.0,2.0,3000,90030,3000,,,7542,0.0,19.12979292869568
tsp,tsp,52,berlin52,P-ACO,"K=5, ants=30, q0=0.9, beta=2",8,,5,30,0.9,1.0,2.0,3000,90030,3000,,,7542,0.0,18.932026863098145
tsp,tsp,52,berlin52,P-ACO,"K=5, ants=30, q0=0.9, beta=2",9,,5,30,0.9,1.0,2.0,3000,90030,3000,,,7542,0.0,18.982445001602173
tsp,tsp,52,berlin52,P-ACO,"K=5, ants=30, q0=0.9, beta=2",10,,5,30,0.9,1.0,2.0,3000,90030,3000,,,7542,0.0,19.03596305847168
tsp,tsp,52,berlin52,P-ACO,"K=5, ants=30, q0=0.9, beta=2",11,,5,30,0.9,1.0,2.0,3000,90030,3000,,,7542,0.0,18.984379053115845
tsp,tsp,52,berlin52,P-ACO,"K=5, ants=30, q0=0.9, beta=2",12,,5,30,0.9,1.0,2.0,3000,90030,3000,,,7715,2.2938212675682843,19.051142930984497
tsp,tsp,52,berlin52,P-ACO,"K=5, ants=30, q0=0.9, beta=2",13,,5,30,0.9,1.0,2.0,3000,90030,3000,,,7542,0.0,19.05588388442993
tsp,tsp,52,berlin52,P-ACO,"K=5, ants=30, q0=0.9, beta=2",14,,5,30,0.9,1.0,2.0,3000,90030,3000,,,7542,0.0,19.00006914138794
tsp,tsp,52,berlin52,P-ACO,"K=5, ants=30, q0=0.9, beta=3",0,,5,30,0.9,1.0,3.0,3000,90030,3000,,,7542,0.0,18.966652154922485
tsp,tsp,52,berlin52,P-ACO,"K=5, ants=30, q0=0.9, beta=3",1,,5,30,0.9,1.0,3.0,3000,90030,3000,,,7542,0.0,19.08599281311035
tsp,tsp,52,berlin52,P-ACO,"K=5, ants=30, q0=0.9, beta=3",2,,5,30,0.9,1.0,3.0,3000,90030,3000,,,7542,0.0,18.949088096618652
tsp,tsp,52,berlin52,P-ACO,"K=5, ants=30, q0=0.9, beta=3",3,,5,30,0.9,1.0,3.0,3000,90030,3000,,,7715,2.2938212675682843,19.239421129226685
tsp,tsp,52,berlin52,P-ACO,"K=5, ants=30, q0=0.9, beta=3",4,,5,30,0.9,1.0,3.0,3000,90030,3000,,,7715,2.2938212675682843,19.670575857162476
tsp,tsp,52,berlin52,P-ACO,"K=5, ants=30, q0=0.9, beta=3",5,,5,30,0.9,1.0,3.0,3000,90030,3000,,,7542,0.0,19.243026971817017
tsp,tsp,52,berlin52,P-ACO,"K=5, ants=30, q0=0.9, beta=3",6,,5,30,0.9,1.0,3.0,3000,90030,3000,,,7542,0.0,19.025850296020508
tsp,tsp,52,berlin52,P-ACO,"K=5, ants=30, q0=0.9, beta=3",7,,5,30,0.9,1.0,3.0,3000,90030,3000,,,7542,0.0,19.158478260040283
tsp,tsp,52,berlin52,P-ACO,"K=5, ants=30, q0=0.9, beta=3",8,,5,30,0.9,1.0,3.0,3000,90030,3000,,,7542,0.0,19.2082679271698
tsp,tsp,52,berlin52,P-ACO,"K=5, ants=30, q0=0.9, beta=3",9,,5,30,0.9,1.0,3.0,3000,90030,3000,,,7542,0.0,19.246694803237915
