problem,crossover,generation,fitness_evaluations,mean_fitness,std_fitness,min_fitness,max_fitness,bit_length,trials
onemax,four_point,57,1430,99.52,0.6997142273814361,97.0,100.0,100,50
onemax,four_point,58,1455,99.56,0.6681317235396026,97.0,100.0,100,50
onemax,four_point,59,1480,99.62,0.66,97.0,100.0,100,50
onemax,four_point,60,1505,99.62,0.66,97.0,100.0,100,50
onemax,four_point,61,1530,99.66,0.6514598989960932,97.0,100.0,100,50
onemax,four_point,62,1555,99.7,0.6403124237432849,97.0,100.0,100,50
onemax,four_point,63,1580,99.74,0.626418390534633,97.0,100.0,100,50
onemax,four_point,64,1605,99.74,0.626418390534633,97.0,100.0,100,50
onemax,four_point,65,1630,99.74,0.626418390534633,97.0,100.0,100,50
onemax,four_point,66,1655,99.74,0.626418390534633,97.0,100.0,100,50
onemax,four_point,67,1680,99.74,0.626418390534633,97.0,100.0,100,50
onemax,four_point,68,1705,99.78,0.6095900261651269,97.0,100.0,100,50
onemax,four_point,69,1730,99.78,0.6095900261651269,97.0,100.0,100,50
onemax,four_point,70,1755,99.82,0.5173006862551025,97.0,100.0,100,50
onemax,four_point,71,1780,99.86,0.4903060268852506,97.0,100.0,100,50
onemax,four_point,72,1805,99.88,0.4749736834815168,97.0,100.0,100,50
onemax,four_point,73,1830,99.9,0.36055512754639896,98.0,100.0,100,50
onemax,four_point,74,1855,99.9,0.36055512754639896,98.0,100.0,100,50
onemax,four_point,75,1880,99.9,0.36055512754639896,98.0,100.0,100,50
onemax,four_point,76,1905,99.9,0.36055512754639896,98.0,100.0,100,50
onemax,four_point,77,1930,99.92,0.33704599092705434,98.0,100.0,100,50
onemax,four_point,78,1955,99.94,0.23748684174075835,99.0,100.0,100,50
onemax,four_point,79,1980,99.94,0.23748684174075835,99.0,100.0,100,50
onemax,four_point,80,2005,99.96,0.19595917942265423,99.0,100.0,100,50
onemax,four_point,81,2030,99.96,0.19595917942265423,99.0,100.0,100,50
onemax,four_point,82,2055,99.96,0.19595917942265423,99.0,100.0,100,50
onemax,four_point,83,2080,99.96,0.19595917942265423,99.0,100.0,100,50
onemax,four_point,84,2105,99.98,0.14,99.0,100.0,100,50
onemax,four_point,85,2130,99.98,0.14,99.0,100.0,100,50
onemax,four_point,86,2155,99.98,0.14,99.0,100.0,100,50
onemax,four_point,87,2180,99.98,0.14,99.0,100.0,100,50
onemax,four_point,88,2205,99.98,0.14,99.0,100.0,100,50
onemax,four_point,89,2230,99.98,0.14,99.0,100.0,100,50
onemax,four_point,90,2255,99.98,0.14,99.0,100.0,100,50
onemax,four_point,91,2280,99.98,0.14,99.0,100.0,100,50
onemax,four_point,92,2305,99.98,0.14,99.0,100.0,100,50
onemax,four_point,93,2330,99.98,0.14,99.0,100.0,100,50
onemax,four_point,94,2355,99.98,0.14,99.0,100.0,100,50
onemax,four_point,95,2380,99.98,0.14,99.0,100.0,100,50
onemax,four_point,96,2405,99.98,0.14,99.0,100.0,100,50
onemax,four_point,97,2430,99.98,0.14,99.0,100.0,100,50
onemax,four_point,98,2455,99.98,0.14,99.0,100.0,100,50
onemax,four_point,99,2480,99.98,0.14,99.0,100.0,100,50
onemax,four_point,100,2505,99.98,0.14,99.0,100.0,100,50
onemax,four_point,101,2530,99.98,0.14,99.0,100.0,100,50
onemax,four_point,102,2555,100.0,0.0,100.0,100.0,100,50
onemax,uniform,0,5,55.12,3.32048189273786,48.0,63.0,100,50
onemax,uniform,1,30,59.9,3.176476034853718,52.0,67.0,100,50
onemax,uniform,2,55,63.58,2.905787328763067,58.0,70.0,100,50
onemax,uniform,3,80,66.64,2.70377513857939,61.0,73.0,100,50
onemax,uniform,4,105,68.96,2.8632848269077247,62.0,77.0,100,50
onemax,uniform,5,130,71.16,2.8799999999999994,64.0,79.0,100,50
onemax,uniform,6,155,72.94,2.866426346515814,67.0,80.0,100,50
onemax,uniform,7,180,74.68,2.8173746644704534,69.0,81.0,100,50
onemax,uniform,8,205,76.4,2.756809750418044,70.0,83.0,100,50
onemax,uniform,9,230,77.82,2.8683793333518497,72.0,84.0,100,50
onemax,uniform,10,255,79.38,2.770487321754063,74.0,85.0,100,50
onemax,uniform,11,280,80.74,2.575344637131116,76.0,86.0,100,50
