problem,crossover,bit_length,mu,lambda,seed,fitness_evaluations,iterations,final_fitness,reached_optimum,elapsed_seconds
onemax,uniform,100,5,25,2,905,36,100,True,0.01223301887512207
onemax,uniform,100,5,25,3,1030,41,100,True,0.013939857482910156
onemax,uniform,100,5,25,4,1180,47,100,True,0.015886783599853516
onemax,uniform,100,5,25,5,1180,47,100,True,0.01593494415283203
onemax,uniform,100,5,25,6,1105,44,100,True,0.014680147171020508
onemax,uniform,100,5,25,7,980,39,100,True,0.013362884521484375
onemax,uniform,100,5,25,8,1305,52,100,True,0.01731109619140625
onemax,uniform,100,5,25,9,1255,50,100,True,0.01672816276550293
onemax,uniform,100,5,25,10,1055,42,100,True,0.014314889907836914
onemax,uniform,100,5,25,11,1105,44,100,True,0.015027046203613281
onemax,uniform,100,5,25,12,1530,61,100,True,0.020500898361206055
onemax,uniform,100,5,25,13,1105,44,100,True,0.014959096908569336
onemax,uniform,100,5,25,14,955,38,100,True,0.01282811164855957
onemax,uniform,100,5,25,15,1205,48,100,True,0.01588892936706543
onemax,uniform,100,5,25,16,1580,63,100,True,0.02109503746032715
onemax,uniform,100,5,25,17,1555,62,100,True,0.020657062530517578
onemax,uniform,100,5,25,18,805,32,100,True,0.010948657989501953
onemax,uniform,100,5,25,19,1030,41,100,True,0.013974905014038086
onemax,uniform,100,5,25,20,1180,47,100,True,0.01564192771911621
onemax,uniform,100,5,25,21,1430,57,100,True,0.01906895637512207
onemax,uniform,100,5,25,22,980,39,100,True,0.013289928436279297
onemax,uniform,100,5,25,23,880,35,100,True,0.011860847473144531
onemax,uniform,100,5,25,24,1130,45,100,True,0.015056848526000977
onemax,uniform,100,5,25,25,955,38,100,True,0.013091087341308594
onemax,uniform,100,5,25,26,1155,46,100,True,0.015559911727905273
onemax,uniform,100,5,25,27,1180,47,100,True,0.015783071517944336
onemax,uniform,100,5,25,28,1130,45,100,True,0.015377044677734375
onemax,uniform,100,5,25,29,980,39,100,True,0.013175725936889648
onemax,uniform,100,5,25,30,1380,55,100,True,0.018548965454101562
onemax,uniform,100,5,25,31,2830,113,100,True,0.03737616539001465
onemax,uniform,100,5,25,32,1080,43,100,True,0.01450490951538086
onemax,uniform,100,5,25,33,2205,88,100,True,0.029206037521362305
onemax,uniform,100,5,25,34,1030,41,100,True,0.01380610466003418
onemax,uniform,100,5,25,35,1105,44,100,True,0.014516830444335938
onemax,uniform,100,5,25,36,1105,44,100,True,0.014746904373168945
onemax,uniform,100,5,25,37,1080,43,100,True,0.014347076416015625
onemax,uniform,100,5,25,38,1355,54,100,True,0.01826190948486328
onemax,uniform,100,5,25,39,1130,45,100,True,0.01540517807006836
onemax,uniform,100,5,25,40,1255,50,100,True,0.01708197593688965
onemax,uniform,100,5,25,41,1780,71,100,True,0.023837804794311523
onemax,uniform,100,5,25,42,1280,51,100,True,0.017377614974975586
onemax,uniform,100,5,25,43,1305,52,100,True,0.017374753952026367
onemax,uniform,100,5,25,44,1930,77,100,True,0.025548934936523438
onemax,uniform,100,5,25,45,1105,44,100,True,0.014758110046386719
onemax,uniform,100,5,25,46,1055,42,100,True,0.013850212097167969
onemax,uniform,100,5,25,47,1755,70,100,True,0.023578882217407227
onemax,uniform,100,5,25,48,980,39,100,True,0.013265132904052734
onemax,uniform,100,5,25,49,1230,49,100,True,0.016525983810424805
leadingones,single_point,100,5,25,0,11030,441,100,True,0.0918281078338623
leadingones,single_point,100,5,25,1,10280,411,100,True,0.08576202392578125
leadingones,single_point,100,5,25,2,9130,365,100,True,0.07636809349060059
